nom,age,profession,sexe
Personne_101,59,avocat,H
Personne_102,26,graphiste,None
Personne_103,32,vendeur,H
Personne_104,28,enseignant,homme
Personne_105,60,pharmacien,None
Personne_106,31,boulanger,male
Personne_107,36,boulanger,None
Personne_108,18,avocat,M
Personne_109,37,avocat,female
Personne_110,58,médecin,Homme
Personne_111,28,pharmacien,None
Personne_112,26,avocat,Femme
Personne_113,39,pharmacien,homme
Personne_114,32,pharmacien,femme
Personne_115,44,avocat,None
Personne_116,23,avocat,femme
Personne_117,51,boulanger,F
Personne_118,36,graphiste,Homme
Personne_119,18,vendeur,M
Personne_120,32,médecin,female
Personne_121,41,vendeur,F
Personne_122,18,avocat,F
Personne_123,25,comptable,Autre
Personne_124,18,médecin,H
Personne_125,58,graphiste,masculin
Personne_126,36,médecin,F
Personne_127,52,médecin,H
Personne_128,26,ingénieur,F
Personne_129,36,médecin,masculin
Personne_130,55,vendeur,FEMME
Personne_131,25,enseignant,female
Personne_132,58,avocat,féminin
Personne_133,57,boulanger,masculin
Personne_134,34,graphiste,femme
Personne_135,38,comptable,Homme
Personne_136,55,pharmacien,female
Personne_137,34,avocat,Autre
Personne_138,52,ingénieur,féminin
Personne_139,19,enseignant,féminin
Personne_140,23,avocat,masculin
Personne_141,18,vendeur,F
Personne_142,28,ingénieur,None
Personne_143,49,médecin,FEMME
Personne_144,53,ingénieur,féminin
Personne_145,36,vendeur,Homme
Personne_146,40,ingénieur,male
Personne_147,32,pharmacien,female
Personne_148,60,enseignant,H
Personne_149,37,comptable,None
Personne_150,32,pharmacien,female
Personne_151,48,vendeur,homme
Personne_152,60,graphiste,féminin
Personne_153,44,pharmacien,female
Personne_154,55,comptable,female
Personne_155,43,enseignant,Homme
Personne_156,23,comptable,FEMME
Personne_157,53,graphiste,homme
Personne_158,30,boulanger,masculin
Personne_159,53,avocat,male
Personne_160,31,graphiste,F
Personne_161,21,vendeur,féminin
Personne_162,36,graphiste,féminin
Personne_163,42,médecin,Autre
Personne_164,37,graphiste,féminin
Personne_165,24,boulanger,homme
Personne_166,44,ingénieur,FEMME
Personne_167,21,médecin,Autre
Personne_168,19,ingénieur,M
Personne_169,23,graphiste,H
Personne_170,37,comptable,F
Personne_171,54,graphiste,FEMME
Personne_172,35,pharmacien,Homme
Personne_173,38,ingénieur,M
Personne_174,47,avocat,male
Personne_175,58,avocat,Autre
Personne_176,20,pharmacien,Autre
Personne_177,28,enseignant,FEMME
Personne_178,45,enseignant,Homme
Personne_179,34,avocat,Femme
Personne_180,40,boulanger,M
Personne_181,57,comptable,homme
Personne_182,30,pharmacien,F
Personne_183,37,enseignant,None
Personne_184,51,enseignant,FEMME
Personne_185,48,enseignant,F
Personne_186,50,enseignant,homme
Personne_187,44,vendeur,None
Personne_188,49,comptable,female
Personne_189,24,comptable,Homme
Personne_190,53,comptable,FEMME
Personne_191,49,avocat,female
Personne_192,32,avocat,H
Personne_193,43,médecin,femme
Personne_194,29,vendeur,M
Personne_195,55,avocat,masculin
Personne_196,60,enseignant,None
Personne_197,29,enseignant,male
Personne_198,53,comptable,female
Personne_199,22,pharmacien,None
Personne_200,54,pharmacien,féminin
